"","Job","Marital","Education","Housing","Loan","Default","Deposit"
"1",11,3,4,1,1,1,2
"2",11,2,3,1,2,1,2
"3",2,2,2,1,1,1,1
"4",5,2,1,1,1,1,2
"5",9,2,3,1,1,1,2
"6",12,2,3,2,2,1,1
"7",12,2,3,1,1,1,2
"8",5,3,4,2,1,1,1
"9",1,2,3,2,1,1,1
"10",3,1,3,2,1,1,2
"11",9,1,3,2,1,1,1
"12",11,1,3,2,1,1,1
"13",1,2,3,2,2,1,2
"14",11,2,3,2,1,1,1
"15",11,3,3,2,1,1,1
"16",1,2,3,2,2,1,1
"17",2,2,3,2,1,1,1
"18",5,2,4,1,1,1,2
"19",11,1,3,2,1,1,1
"20",10,3,1,1,1,1,1
"21",11,2,4,1,1,1,2
"22",1,2,4,2,2,1,1
"23",5,3,4,1,1,1,1
"24",2,2,2,2,1,2,1
"25",9,3,3,2,1,1,1
"26",9,3,3,2,1,1,2
"27",2,3,3,2,1,1,2
"28",9,1,3,1,1,1,2
"29",5,2,4,1,1,1,2
"30",7,2,3,2,1,1,2
"31",5,2,4,1,1,1,2
"32",2,3,3,2,2,1,2
"33",1,3,4,1,2,1,2
"34",5,3,4,1,1,1,1
"35",3,2,4,1,2,1,1
"36",5,2,4,1,1,1,2
"37",2,2,3,2,1,1,1
"38",2,3,3,1,1,1,1
"39",11,1,3,1,2,1,1
"40",2,2,3,1,1,1,2
"41",11,1,3,1,1,1,1
"42",5,2,4,1,1,1,1
"43",1,3,3,2,1,1,1
"44",1,3,3,1,1,1,2
"45",5,3,4,2,2,1,1
"46",1,2,3,2,2,1,2
"47",1,3,3,1,1,1,2
"48",7,2,4,1,1,1,2
"49",9,3,3,2,1,1,2
"50",2,2,3,2,1,1,2
